aifi_cell_type,timepoint,fg,bg,n_sample,gene,coef_C,coef_D,logFC,nomP,adjP,direction_sign,direction,upr_pathway,alt_name,y_offset,y_pos,order,gene_ypos,treat_label,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos
t_cd4_cm,24,bortezomib,dmso,648,DNAJB11,0.0152036517581226,0.262758547899976,0.0409605019518725,0.261841701536206,0.553254580310582,1,up,IRE1alpha activates chaperones,,0,39,21,21,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,DNAJC3,0.0286265299206384,0.215007609266191,0.0798263486520451,0.1349730504277,0.405109925912681,1,up,IRE1alpha activates chaperones,,0,37,20,20,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,EDEM1,0.0102565670802527,-0.304684361442274,-0.0620293812714081,0.0925273540579511,0.334018120883012,-1,dn,IRE1alpha activates chaperones,,0,36,19,19,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,EIF2AK3,-0.0445752325572302,-0.349169768881952,-0.149892177498414,0.00575486026772559,0.0573729848756587,-1,dn,Key regulators,PERK,4,93,55,59,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,EIF2S1,0.0146659958043067,-0.117984405931914,-0.0235917244792834,0.642627916828984,0.831423140672078,-1,dn,PERK regulates gene expression,,3,80,46,49,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,EIF2S2,0.0453834881304623,-0.0990351523788829,-0.0181336991022869,0.217000030589154,0.50616648267605,-1,dn,PERK regulates gene expression,,3,79,45,48,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,EIF2S3,0.00319332133275438,0.0741532171485233,0.0230159124810485,0.832056532718185,0.926154919264613,1,up,PERK regulates gene expression,,3,78,44,47,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,ERN1,-0.0623673319523988,-0.187769910213944,-0.112398293579311,0.0572411222122373,0.251920254958935,-1,dn,Key regulators,IRE1a,4,92,54,58,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,EXOSC1,-0.011788469365056,0.0492726756249118,0.00681917149692537,0.904024221324119,0.960568143098207,1,up,PERK regulates gene expression,,3,77,43,46,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,EXOSC5,0.00306992463756373,-0.141201971223144,-0.0101240163751231,0.833965566959723,0.927054851039392,-1,dn,PERK regulates gene expression,,3,73,42,45,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,EXOSC6,0.0128917064031925,-0.174749791275086,-0.0319434276409793,0.444399427679296,0.706741809204538,-1,dn,PERK regulates gene expression,,3,72,41,44,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,EXOSC7,0.0226306721030178,-0.315560057453798,-0.0391297503549956,0.201425089955955,0.48827189328935,-1,dn,PERK regulates gene expression,,3,71,40,43,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,EXOSC8,0.00309719989091455,-0.00216495603292249,9.3121574985533e-05,0.995811344610888,0.997893768668449,1,up,PERK regulates gene expression,,3,70,39,42,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,GFPT1,-0.0204914880088652,0.0145213114495903,-0.00108617658130733,0.838946858299422,0.929477928737135,-1,dn,IRE1alpha activates chaperones,,0,31,18,18,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,GOSR2,0.0663901755442322,0.0357764222348173,0.0225441016652027,0.130138093547566,0.397337514950763,1,up,IRE1alpha activates chaperones,,0,30,17,17,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,GSK3A,-0.0201561498764805,-0.151304653692645,-0.0133032713367234,0.652738634413458,0.837723058595783,-1,dn,IRE1alpha activates chaperones,,0,29,16,16,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,HDGF,0.0609852459924389,-0.0695943518590718,-0.00191923996756248,0.316308571836871,0.608820532332287,-1,dn,IRE1alpha activates chaperones,,0,28,15,15,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,HERPUD1,0.0678485900155981,0.215565877021402,0.094831032092982,0.0192772197922715,0.128263776015281,1,up,PERK regulates gene expression,,3,68,38,41,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,HSP90B1,-0.0318956977254797,-0.219212657768276,-0.101445681011835,0.0891910373166595,0.329100204590663,-1,dn,ATF6 (ATF6-alpha) activates chaperones,,1,55,29,30,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,HSPA5,0.0467288957368603,0.0640195532984428,0.0439189678828789,0.252446155942585,0.543130103489443,1,up,Key regulators,BiP/GRP78,4,91,53,57,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,KHSRP,0.0291006781665433,0.0867090093730211,0.012406591964523,0.559624743781411,0.781439163782086,1,up,PERK regulates gene expression,,3,65,37,40,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,KLHDC3,0.0210672304211164,0.23857586082213,0.0146812774290989,0.55897840793545,0.78091490082298,1,up,IRE1alpha activates chaperones,,0,25,14,14,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,LMNA,0.0767175633477615,0.581036393187033,0.0566524625442401,0.0126448713549946,0.0960693535682685,1,up,IRE1alpha activates chaperones,,0,24,13,13,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,MBTPS1,0.0234617146336828,0.129092075329994,0.0518284106676491,0.363644996974648,0.646723708775428,1,up,ATF6 (ATF6-alpha) activates chaperones,,1,54,28,29,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,MYDGF,0.00989962478788091,0.00866538701431626,0.00424866243171701,0.942788804011849,0.978978985486142,1,up,IRE1alpha activates chaperones,,0,23,12,12,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,NFYA,0.0228506927238818,0.302431408560506,0.0473648582780026,0.175557982670483,0.459110069212771,1,up,ATF6/PERK ,,2,60,33,35,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,NFYB,0.00736699639736103,-0.930499105928585,-0.0705510929034423,0.000422320191624071,0.00727624281471574,-1,dn,ATF6/PERK ,,2,59,32,34,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,NFYC,0.0192488691982685,0.226524773937618,0.0556129358787824,0.243251249646069,0.536246310625792,1,up,ATF6/PERK ,,2,58,31,33,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PARN,0.0397974431966853,-0.0446300592626629,-0.00272927973061621,0.543743122154626,0.771559318339691,-1,dn,PERK regulates gene expression,,3,64,36,39,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PDIA5,0.0129059319508053,0.149604124669307,0.0103954845784093,0.820708010559533,0.921679723861463,1,up,IRE1alpha activates chaperones,,0,22,11,11,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PDIA6,-0.01287460881848,-0.0407418685989966,-0.0120510315155457,0.890483561697981,0.954298179795944,-1,dn,IRE1alpha activates chaperones,,0,21,10,10,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,SERP1,-0.062163295829672,-0.0294309031482632,-0.0309519095652821,0.108175936839652,0.363899567333072,-1,dn,IRE1alpha activates chaperones,,0,16,9,9,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,SRPRA,0.00102568129165646,-0.147450875738829,-0.0319780160701575,0.568926991568553,0.786994687187214,-1,dn,IRE1alpha activates chaperones,,0,13,8,8,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,SRPRB,-0.00331878593771373,-0.120707196042732,-0.0192301804944687,0.752637436382513,0.889138022897506,-1,dn,IRE1alpha activates chaperones,,0,12,7,7,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,SSR1,0.0189425116017924,-0.589785238907371,-0.155985023822998,2.34861257118141e-05,0.00062930962711719,-1,dn,IRE1alpha activates chaperones,,0,11,6,6,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,TLN1,0.00858797673422066,0.0579971157222462,0.0171004693818052,0.868186488529293,0.944620338447998,1,up,IRE1alpha activates chaperones,,0,7,4,4,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,TPP1,-0.0130858533134065,-0.109777285526887,-0.0161626110252774,0.766575010868498,0.894761660770106,-1,dn,IRE1alpha activates chaperones,,0,6,3,3,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,TSPYL2,-0.0109336772848867,0.645220747205926,0.068909579657333,0.00498485114168123,0.0514475402156019,1,up,IRE1alpha activates chaperones,,0,5,2,2,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,XBP1,-0.0291442643263902,-0.373869673544357,-0.120415877194366,0.00662616748933597,0.0632389512971008,-1,dn,Key regulators,,4,90,52,56,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,ZBTB17,0.0423544015194847,0.49351078099962,0.0413278788250112,0.0634891727069353,0.268297031329706,1,up,IRE1alpha activates chaperones,,0,1,1,1,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_em,24,bortezomib,dmso,180,ACADVL,0.046449238533835,0.762867533567186,0.139303420227922,0.0305670932609402,0.33284311024453,1,up,IRE1alpha activates chaperones,,0,50,27,27,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,ADD1,-0.00730352674644344,-0.176341153650299,-0.060900922473009,0.731954428020285,0.944526705469885,-1,dn,IRE1alpha activates chaperones,,0,49,26,26,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,ATF4,-0.0451470361571232,0.0325777658329686,-0.00279278846189052,0.685643903767735,0.935253180423126,-1,dn,ATF6/PERK ,,2,62,35,37,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,ATF6,0.0913396064849559,0.5295652827913,0.251365276838025,0.0138223270114762,0.218584378391568,1,up,Key regulators,,4,94,56,60,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,ATP6V0D1,0.000271058956064806,-0.133866386362448,-0.0150420712399895,0.934128411896948,0.990771224643418,-1,dn,IRE1alpha activates chaperones,,0,47,24,24,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,CALR,-0.00132372353542617,-0.0604979900734191,-0.0153675314124167,0.971020102180689,0.996261499018812,-1,dn,ATF6 (ATF6-alpha) activates chaperones,,1,56,30,31,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,CEBPB,0.0164830527690288,-0.000232762750274761,0.00127561045231303,0.975866889652368,0.996703957829894,1,up,PERK regulates gene expression,,3,85,50,53,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,CEBPG,0.0745055567618399,-0.241550160335186,-0.0233994949375948,0.475753866156994,0.886932733417366,-1,dn,PERK regulates gene expression,,3,84,49,52,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,CTDSP2,0.0183859571178558,-0.58834919438077,-0.0730055487732749,0.213429208606497,0.727607552860388,-1,dn,IRE1alpha activates chaperones,,0,44,23,23,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,DCP2,0.0626619104572898,0.0883454628990927,0.0447588018860103,0.681965948622143,0.933413168552569,1,up,PERK regulates gene expression,,3,82,47,50,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,DNAJB11,0.029886298863215,0.31540056115835,0.0479857526217049,0.570560734820944,0.907708518679122,1,up,IRE1alpha activates chaperones,,0,39,21,21,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,DNAJC3,0.075135030260344,0.281892406656552,0.123579388159539,0.221512324714218,0.737277673306136,1,up,IRE1alpha activates chaperones,,0,37,20,20,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,EDEM1,-0.0755451119182206,-0.274615777054483,-0.0584603687934023,0.374593512158764,0.843097202547795,-1,dn,IRE1alpha activates chaperones,,0,36,19,19,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,EIF2AK3,-0.0405136548638727,-0.454220797033751,-0.184037120655931,0.112083764286729,0.57554705328564,-1,dn,Key regulators,PERK,4,93,55,59,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,EIF2S1,0.0372253801491661,-0.185166335984639,-0.0345548647785133,0.705042349610633,0.93973981173948,-1,dn,PERK regulates gene expression,,3,80,46,49,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,EIF2S2,-0.056283980244072,0.109363435763241,0.0204507238947691,0.578336772870328,0.911431456617664,1,up,PERK regulates gene expression,,3,79,45,48,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,EIF2S3,-0.00343690673478425,-0.154482538537475,-0.0493694125853399,0.794123029280774,0.957683496111549,-1,dn,PERK regulates gene expression,,3,78,44,47,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,ERN1,-0.0493889381829572,-0.247375012786311,-0.14316013921323,0.3977199664679,0.851406207587235,-1,dn,Key regulators,IRE1a,4,92,54,58,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,EXOSC1,0.0553575020554963,0.113168716350948,0.0215512046415217,0.801057720905389,0.960072198008455,1,up,PERK regulates gene expression,,3,77,43,46,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,EXOSC6,-0.0427975585137286,-0.0369417909297037,-0.0143748974893946,0.70744746043644,0.93973981173948,-1,dn,PERK regulates gene expression,,3,72,41,44,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,EXOSC7,0.120498013294444,-0.118091071049269,-0.0033359971264123,0.214454191909159,0.728259544721257,-1,dn,PERK regulates gene expression,,3,71,40,43,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,EXOSC8,-0.00182326308544675,-0.306798856061309,-0.0608600672743229,0.537766620029676,0.903286678822132,-1,dn,PERK regulates gene expression,,3,70,39,42,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,GFPT1,-0.130527582173823,-0.368102910817436,-0.120738475410977,0.104596062907666,0.563486652090615,-1,dn,IRE1alpha activates chaperones,,0,31,18,18,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,GOSR2,0.00485738550390537,0.0965026255392683,0.0270238827166234,0.924129290935603,0.986679307696644,1,up,IRE1alpha activates chaperones,,0,30,17,17,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,GSK3A,0.0283209334121154,-0.106219038755118,-0.00598727046759021,0.949033838583736,0.992948527417446,-1,dn,IRE1alpha activates chaperones,,0,29,16,16,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,HDGF,0.0927706904690264,0.30721733559456,0.0350349284683863,0.434502260575106,0.870497780477824,1,up,IRE1alpha activates chaperones,,0,28,15,15,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,HERPUD1,-0.000885482025766632,0.578391071134291,0.19523971171858,0.0403602323097621,0.377256692311429,1,up,PERK regulates gene expression,,3,68,38,41,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,HSP90B1,0.00871232555515412,0.0799071492552512,0.0371477083242437,0.925697361629469,0.98713271064565,1,up,ATF6 (ATF6-alpha) activates chaperones,,1,55,29,30,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,HSPA5,0.0921089656487005,-0.0126304939529436,0.0370591660492835,0.271815848613897,0.778398689240222,1,up,Key regulators,BiP/GRP78,4,91,53,57,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,KHSRP,-0.126446328611121,0.0608025029504562,-0.00464435005036989,0.248695603843649,0.76002036545068,-1,dn,PERK regulates gene expression,,3,65,37,40,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,LMNA,0.000370217077658868,-0.348909638681554,-0.0373294763224632,0.640062027781392,0.926758923303029,-1,dn,IRE1alpha activates chaperones,,0,24,13,13,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,MBTPS1,0.000817465452579918,0.0844978126262689,0.0272610313899185,0.934708958662114,0.990899592048215,1,up,ATF6 (ATF6-alpha) activates chaperones,,1,54,28,29,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,MYDGF,-0.0110191339208526,-0.267787812524044,-0.0747305447840203,0.536349418796385,0.902955903741371,-1,dn,IRE1alpha activates chaperones,,0,23,12,12,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,NFYA,0.0607509493867577,0.170230323857921,0.0305347441179546,0.644561220012488,0.927092015360771,1,up,ATF6/PERK ,,2,60,33,35,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,NFYB,-0.166141753457182,-0.0776153837420604,-0.0196342973592012,0.318574936700681,0.813263177809009,-1,dn,ATF6/PERK ,,2,59,32,34,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,NFYC,-0.0332311078697405,0.088588000146013,0.0109828566252216,0.865873285372886,0.97222687581808,1,up,ATF6/PERK ,,2,58,31,33,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PARN,0.0319619764201519,-0.0610040713244407,-0.00959503805437484,0.890484270596658,0.979958201157007,-1,dn,PERK regulates gene expression,,3,64,36,39,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PDIA5,-0.0398761055132755,-0.00124103923055538,-0.00300610620792718,0.950645681550457,0.993796916622726,-1,dn,IRE1alpha activates chaperones,,0,22,11,11,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PDIA6,-0.0854062694900676,-0.175931336042479,-0.0560483080407079,0.327393607149853,0.818332056546711,-1,dn,IRE1alpha activates chaperones,,0,21,10,10,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,SERP1,0.0189909646991692,0.268158993263424,0.0896657183443316,0.456826636828262,0.880859500509402,1,up,IRE1alpha activates chaperones,,0,16,9,9,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,SRPRA,0.0758459952792067,0.00256031652425553,0.014113237362134,0.406230609315038,0.855270851452463,1,up,IRE1alpha activates chaperones,,0,13,8,8,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,SRPRB,0.0518745134850732,0.545299657022599,0.0807212355093503,0.176153986527967,0.678056297971293,1,up,IRE1alpha activates chaperones,,0,12,7,7,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,SSR1,0.0378008786990258,-0.391665311905107,-0.0875028265205665,0.240441276718771,0.755202904994021,-1,dn,IRE1alpha activates chaperones,,0,11,6,6,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,TLN1,-0.0234361055386087,-0.692089787583891,-0.209796321462737,0.0148601948738808,0.227737293344446,-1,dn,IRE1alpha activates chaperones,,0,7,4,4,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,TPP1,0.0302029178449571,-0.132912976865652,-0.012476186456858,0.857769776572345,0.971192789711767,-1,dn,IRE1alpha activates chaperones,,0,6,3,3,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,TSPYL2,0.0224926505885052,0.938051656336666,0.114628513518751,0.0372233511737737,0.362643906434219,1,up,IRE1alpha activates chaperones,,0,5,2,2,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,XBP1,0.0104668492958861,-0.0771185479954531,-0.0203832501511038,0.926235979375992,0.987453067378982,-1,dn,Key regulators,,4,90,52,56,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,ZBTB17,-0.0681442125660942,0.199203684898716,0.0171131760004875,0.644384752746751,0.927053678891897,1,up,IRE1alpha activates chaperones,,0,1,1,1,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_naive,24,bortezomib,dmso,1352,ACADVL,-0.0105990256600623,0.775614598116383,0.0625319126415043,1.32747826661953e-05,0.00067428862946833,1,up,IRE1alpha activates chaperones,,0,50,27,27,Bor/DMSO,CD4 Naive,#93A7D1,1,7
t_cd4_naive,24,bortezomib,dmso,1352,ADD1,-0.028682409699031,-0.0543745607141792,-0.0278197697442266,0.316315573701769,0.67438149205816,-1,dn,IRE1alpha activates chaperones,,0,49,26,26,Bor/DMSO,CD4 Naive,#93A7D1,1,7
t_cd4_naive,24,bortezomib,dmso,1352,ATF4,-0.0118636000881717,-0.0977077127373438,-0.0229685609697915,0.542227835468182,0.812019362802765,-1,dn,ATF6/PERK ,,2,62,35,37,Bor/DMSO,CD4 Naive,#93A7D1,1,7
t_cd4_naive,24,bortezomib,dmso,1352,ATF6,-0.0154290944670371,0.0578851620120337,0.0180210761876555,0.619047980362235,0.853862171320632,1,up,Key regulators,,4,94,56,60,Bor/DMSO,CD4 Naive,#93A7D1,1,7
t_cd4_naive,24,bortezomib,dmso,1352,CALR,-0.0132973174865716,-0.23314204207678,-0.0636468046775296,0.0375147080171872,0.260396208589887,-1,dn,ATF6 (ATF6-alpha) activates chaperones,,1,56,30,31,Bor/DMSO,CD4 Naive,#93A7D1,1,7
t_cd4_naive,24,bortezomib,dmso,1352,CEBPB,0.0338242916490088,-0.0284268555022737,-0.000413553253596488,0.341273377648569,0.693436417464926,-1,dn,PERK regulates gene expression,,3,85,50,53,Bor/DMSO,CD4 Naive,#93A7D1,1,7
t_cd4_naive,24,bortezomib,dmso,1352,CEBPG,-0.0537417894484206,0.183046961554725,0.0117727121709003,0.141977872266016,0.494974857867313,1,up,PERK regulates gene expression,,3,84,49,52,Bor/DMSO,CD4 Naive,#93A7D1,1,7
t_cd4_naive,24,bortezomib,dmso,1352,CTDSP2,0.013492391639605,0.234725232872452,0.0314313669880956,0.168436947120943,0.528605312773172,1,up,IRE1alpha activates chaperones,,0,44,23,23,Bor/DMSO,CD4 Naive,#93A7D1,1,7
t_cd4_naive,24,bortezomib,dmso,1352,DCP2,0.02276308277661,-0.23087154892769,-0.0663986942806435,0.0225794914981893,0.200677520036051,-1,dn,PERK regulates gene expression,,3,82,47,50,Bor/DMSO,CD4 Naive,#93A7D1,1,7
t_cd4_naive,24,bortezomib,dmso,1352,DNAJB11,0.0298102978166529,-0.0991612429854863,-0.00933575541651346,0.268548043642691,0.633658233917856,-1,dn,IRE1alpha activates chaperones,,0,39,21,21,Bor/DMSO,CD4 Naive,#93A7D1,1,7
