fg,timepoint,aifi_cell_type,pathway_label,all_padj,all_NES,no_psm_padj,no_psm_NES,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos,pathway,diff,abs_diff,all_sig,no_psm_sig,sig_change
bortezomib,24,t_cd4_cm,Peroxisome,0.560576265389877,1.05825076542197,0.485938792390405,1.13256635107141,CD4 CM,#00AEEF,2,6,HALLMARK_PEROXISOME,0.07431558564944,0.07431558564944,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,UV Response UP,0.667838570277595,0.95758706371783,0.639625309296571,0.92611799347284,CD4 CM,#00AEEF,2,6,HALLMARK_UV_RESPONSE_UP,-0.03146907024499,0.03146907024499,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Oxidative Phosphorylation,0.701904265031955,0.941763782490601,0.575031210986267,1.02567387542443,CD4 CM,#00AEEF,2,6,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.0839100929338289,0.0839100929338289,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,E2F Targets,0.701904265031955,0.911777229950385,0.612584269662921,0.971877943331814,CD4 CM,#00AEEF,2,6,HALLMARK_E2F_TARGETS,0.060100713381429,0.060100713381429,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Complement,0.701904265031955,0.903905227510652,0.36549360748649,-1.1536766479083,CD4 CM,#00AEEF,2,6,HALLMARK_COMPLEMENT,-2.05758187541895,2.05758187541895,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Apoptosis,0.701904265031955,0.896168583259547,0.612584269662921,0.965939654690044,CD4 CM,#00AEEF,2,6,HALLMARK_APOPTOSIS,0.069771071430497,0.069771071430497,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Bile Acid Metabolism,0.774593451469409,0.810936732898667,0.675412236091848,0.86048988919582,CD4 CM,#00AEEF,2,6,HALLMARK_BILE_ACID_METABOLISM,0.0495531562971531,0.0495531562971531,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,DNA Repair,0.809657886769603,0.789516297235165,0.895397489539749,0.721714587433116,CD4 CM,#00AEEF,2,6,HALLMARK_DNA_REPAIR,-0.067801709802049,0.067801709802049,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Unfolded Protein Response,0.809657886769603,0.782495562020907,0.739987535670942,0.846091598645791,CD4 CM,#00AEEF,2,6,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.063596036624884,0.063596036624884,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Mitotic Spindle,0.855721393034826,0.730294589990881,0.844414044687642,0.783997078271855,CD4 CM,#00AEEF,2,6,HALLMARK_MITOTIC_SPINDLE,0.053702488280974,0.053702488280974,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Notch Signaling,0.809657886769603,0.724669732214337,0.766554937867887,0.76024210238174,CD4 CM,#00AEEF,2,6,HALLMARK_NOTCH_SIGNALING,0.035572370167403,0.035572370167403,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Coagulation,0.855721393034826,-0.711610556316985,0.886653428093646,-0.707891301084687,CD4 CM,#00AEEF,2,6,HALLMARK_COAGULATION,0.00371925523229799,0.00371925523229799,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,KRAS Signaling DN,0.667838570277595,-0.951917252101855,0.612584269662921,-0.970069120397937,CD4 CM,#00AEEF,2,6,HALLMARK_KRAS_SIGNALING_DN,-0.0181518682960821,0.0181518682960821,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Apical Surface,0.667838570277595,-0.963822279595332,0.612584269662921,-0.953058034432187,CD4 CM,#00AEEF,2,6,HALLMARK_APICAL_SURFACE,0.010764245163145,0.010764245163145,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,UV Response DN,0.48642159297897,-1.0597609651458,0.485938792390405,-1.06516758793314,CD4 CM,#00AEEF,2,6,HALLMARK_UV_RESPONSE_DN,-0.00540662278733994,0.00540662278733994,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,MYC Targets V2,0.48642159297897,-1.0646450724479,0.523191094619666,-1.05455365472501,CD4 CM,#00AEEF,2,6,HALLMARK_MYC_TARGETS_V2,0.0100914177228899,0.0100914177228899,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Cholesterol Homeostasis,0.445696223050738,-1.10086651049162,0.487104430379747,-1.09928625092389,CD4 CM,#00AEEF,2,6,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.00158025956772989,0.00158025956772989,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Androgen Response,0.445696223050738,-1.11228359532734,0.337511424467946,-1.20042491151164,CD4 CM,#00AEEF,2,6,HALLMARK_ANDROGEN_RESPONSE,-0.0881413161843001,0.0881413161843001,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,TGFβ Signaling,0.445696223050738,-1.12150176272947,0.485938792390405,-1.11253304618788,CD4 CM,#00AEEF,2,6,HALLMARK_TGF_BETA_SIGNALING,0.00896871654159015,0.00896871654159015,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,P53 Pathway,0.394692643600941,-1.16288141215588,0.36549360748649,-1.15267056753711,CD4 CM,#00AEEF,2,6,HALLMARK_P53_PATHWAY,0.0102108446187699,0.0102108446187699,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,WNT/β-Catenin Signaling,0.445696223050738,-1.18267078807957,0.38411245505067,-1.20996330690215,CD4 CM,#00AEEF,2,6,HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.0272925188225801,0.0272925188225801,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Myogenesis,0.382372881355932,-1.20957333782929,0.36549360748649,-1.20489310924906,CD4 CM,#00AEEF,2,6,HALLMARK_MYOGENESIS,0.00468022858023009,0.00468022858023009,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Estrogen Response Late,0.316326530612245,-1.22970560667601,0.320662768031189,-1.2287143272798,CD4 CM,#00AEEF,2,6,HALLMARK_ESTROGEN_RESPONSE_LATE,0.00099127939620991,0.00099127939620991,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Apical Junction,0.21027733866325,-1.28634293865203,0.244440459110473,-1.30249848252272,CD4 CM,#00AEEF,2,6,HALLMARK_APICAL_JUNCTION,-0.01615554387069,0.01615554387069,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,IL6/JAK/STAT3 Signaling,0.304028226992061,-1.30371976624957,0.298412698412698,-1.28199553045731,CD4 CM,#00AEEF,2,6,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.02172423579226,0.02172423579226,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,TNFβ Signaling via NFκB,0.172920791270944,-1.33270419876967,0.195403631593229,-1.33859529798879,CD4 CM,#00AEEF,2,6,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.00589109921912012,0.00589109921912012,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Interferon Alpha Response,0.172920791270944,-1.33539997223984,0.119121088107112,-1.48941464751757,CD4 CM,#00AEEF,2,6,HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.15401467527773,0.15401467527773,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Hypoxia,0.0906623626721962,-1.33662849703213,0.195403631593229,-1.33831256019356,CD4 CM,#00AEEF,2,6,HALLMARK_HYPOXIA,-0.00168406316142988,0.00168406316142988,TRUE,FALSE,TRUE
bortezomib,24,t_cd4_cm,Interferon Gamma Response,0.0803192253332747,-1.40074740606139,0.0002810780952743,-1.93044833925593,CD4 CM,#00AEEF,2,6,HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.52970093319454,0.52970093319454,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_cm,Estrogen Response Early,0.0787785464148916,-1.44124151780177,0.119121088107112,-1.44885668525064,CD4 CM,#00AEEF,2,6,HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.00761516744887003,0.00761516744887003,TRUE,FALSE,TRUE
bortezomib,24,t_cd4_cm,Allograft Rejection,0.0570508186195982,-1.45229686755141,0.0455851389616312,-1.46745802034042,CD4 CM,#00AEEF,2,6,HALLMARK_ALLOGRAFT_REJECTION,-0.0151611527890099,0.0151611527890099,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_cm,Inflammatory Response,0.0262122801775369,-1.64654754849182,0.00780756210322512,-1.77782431795139,CD4 CM,#00AEEF,2,6,HALLMARK_INFLAMMATORY_RESPONSE,-0.13127676945957,0.13127676945957,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_cm,KRAS Signaling UP,0.0262122801775369,-1.68261136586257,0.0152975765715805,-1.67611324687778,CD4 CM,#00AEEF,2,6,HALLMARK_KRAS_SIGNALING_UP,0.00649811898479014,0.00649811898479014,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_cm,Epithelial-Mesenchymal Transition,0.00779079273999879,-1.80245288420922,0.00780756210322512,-1.80810377067275,CD4 CM,#00AEEF,2,6,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.00565088646353007,0.00565088646353007,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_cm,IL2/STAT5 Signaling,0.00105053978474,-1.85551989639323,0.000509641813479798,-1.85391253608551,CD4 CM,#00AEEF,2,6,HALLMARK_IL2_STAT5_SIGNALING,0.00160736030772002,0.00160736030772002,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_em,ROS Pathway,0.00878629626317329,2.02137980023345,0.00167094556266549,2.07513174205691,CD4 EM,#1C75BC,3,5,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.0537519418234598,0.0537519418234598,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_em,MTORC1 Signaling,0.000391450985381023,1.98196315132641,0.0675531041356572,1.39226601236688,CD4 EM,#1C75BC,3,5,HALLMARK_MTORC1_SIGNALING,-0.58969713895953,0.58969713895953,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_em,MYC Targets V1,0.000182457891040965,1.95757700042262,0.78793256433008,0.854989369277723,CD4 EM,#1C75BC,3,5,HALLMARK_MYC_TARGETS_V1,-1.1025876311449,1.1025876311449,TRUE,FALSE,TRUE
bortezomib,24,t_cd4_em,Adipogenesis,0.0146208823085616,1.72911060487906,0.00363128239781844,1.71838204052167,CD4 EM,#1C75BC,3,5,HALLMARK_ADIPOGENESIS,-0.01072856435739,0.01072856435739,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_em,PI3K/AKT/mTOR Signaling,0.124804992199688,1.46038184897853,0.0509081804128154,1.5192030221329,CD4 EM,#1C75BC,3,5,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.05882117315437,0.05882117315437,FALSE,TRUE,TRUE
bortezomib,24,t_cd4_em,Spermatogenesis,0.285714285714286,1.34293840107545,0.249105225483178,1.39140372737748,CD4 EM,#1C75BC,3,5,HALLMARK_SPERMATOGENESIS,0.04846532630203,0.04846532630203,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,Xenobiotic Metabolism,0.290226205719163,1.28182025659501,0.249105225483178,1.31931144395221,CD4 EM,#1C75BC,3,5,HALLMARK_XENOBIOTIC_METABOLISM,0.0374911873571999,0.0374911873571999,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,UV Response UP,0.429022082018927,1.17040448753733,0.475951323160131,1.10341082385261,CD4 EM,#1C75BC,3,5,HALLMARK_UV_RESPONSE_UP,-0.0669936636847202,0.0669936636847202,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,G2/M Checkpoint,0.4429580081754,1.15212408382866,0.475951323160131,1.09147567962559,CD4 EM,#1C75BC,3,5,HALLMARK_G2M_CHECKPOINT,-0.0606484042030699,0.0606484042030699,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,Peroxisome,0.4429580081754,1.14578828567659,0.459051233396584,1.17889330774851,CD4 EM,#1C75BC,3,5,HALLMARK_PEROXISOME,0.03310502207192,0.03310502207192,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,Protein Secretion,0.452994555353902,1.11427614596933,0.44165170556553,1.16534048130112,CD4 EM,#1C75BC,3,5,HALLMARK_PROTEIN_SECRETION,0.0510643353317899,0.0510643353317899,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,Bile Acid Metabolism,0.459890016440841,1.10232851913571,0.475951323160131,1.13628587457135,CD4 EM,#1C75BC,3,5,HALLMARK_BILE_ACID_METABOLISM,0.03395735543564,0.03395735543564,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,Fatty Acid Metabolism,0.473805855161787,1.07545279369094,0.475951323160131,1.13729940451409,CD4 EM,#1C75BC,3,5,HALLMARK_FATTY_ACID_METABOLISM,0.0618466108231501,0.0618466108231501,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,Glycolysis,0.559574832847591,1.01206056138677,0.583410138248848,1.02161142201918,CD4 EM,#1C75BC,3,5,HALLMARK_GLYCOLYSIS,0.00955086063241017,0.00955086063241017,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,Oxidative Phosphorylation,0.559574832847591,1.00297213038663,0.511764705882353,1.05147827487648,CD4 EM,#1C75BC,3,5,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.04850614448985,0.04850614448985,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,DNA Repair,0.572413793103448,0.966563832481621,0.750828119249172,0.887767020579673,CD4 EM,#1C75BC,3,5,HALLMARK_DNA_REPAIR,-0.078796811901948,0.078796811901948,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,Unfolded Protein Response,0.850226928895613,0.778081823704052,0.788706739526412,0.815280875413365,CD4 EM,#1C75BC,3,5,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.037199051709313,0.037199051709313,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,Notch Signaling,0.727403932888328,-0.819991160603182,0.766531713900135,-0.809287752379567,CD4 EM,#1C75BC,3,5,HALLMARK_NOTCH_SIGNALING,0.010703408223615,0.010703408223615,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,Heme Metabolism,0.823068309070549,-0.867006685745196,0.788706739526412,-0.864720357571803,CD4 EM,#1C75BC,3,5,HALLMARK_HEME_METABOLISM,0.00228632817339303,0.00228632817339303,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,WNT/β-Catenin Signaling,0.670112657388999,-0.875729937516231,0.750828119249172,-0.846350739696204,CD4 EM,#1C75BC,3,5,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.029379197820027,0.029379197820027,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,Apical Surface,0.670112657388999,-0.880149611332372,0.750828119249172,-0.858375424556027,CD4 EM,#1C75BC,3,5,HALLMARK_APICAL_SURFACE,0.021774186776345,0.021774186776345,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,Pancrease Beta Cells,0.646266829865361,-0.911846575938014,0.688665710186514,-0.910183472744738,CD4 EM,#1C75BC,3,5,HALLMARK_PANCREAS_BETA_CELLS,0.00166310319327601,0.00166310319327601,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,Cholesterol Homeostasis,0.627656096763648,-0.952101149591137,0.688665710186514,-0.920110012207922,CD4 EM,#1C75BC,3,5,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.031991137383215,0.031991137383215,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,Androgen Response,0.572413793103448,-0.980679147437002,0.583410138248848,-1.0063112191734,CD4 EM,#1C75BC,3,5,HALLMARK_ANDROGEN_RESPONSE,-0.025632071736398,0.025632071736398,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,Mitotic Spindle,0.585365853658537,-0.982515509151853,0.663785652549697,-0.965018587075739,CD4 EM,#1C75BC,3,5,HALLMARK_MITOTIC_SPINDLE,0.0174969220761141,0.0174969220761141,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,E2F Targets,0.559574832847591,-1.00761093699111,0.621368664154613,-0.981991388109004,CD4 EM,#1C75BC,3,5,HALLMARK_E2F_TARGETS,0.0256195488821059,0.0256195488821059,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,MYC Targets V2,0.559574832847591,-1.01074085221209,0.621368664154613,-0.975966154788354,CD4 EM,#1C75BC,3,5,HALLMARK_MYC_TARGETS_V2,0.034774697423736,0.034774697423736,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,Myogenesis,0.541176470588235,-1.03438160103805,0.583410138248848,-1.01318281710981,CD4 EM,#1C75BC,3,5,HALLMARK_MYOGENESIS,0.0211987839282399,0.0211987839282399,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,KRAS Signaling DN,0.539434075857917,-1.06437554641419,0.59047619047619,-1.02072615449237,CD4 EM,#1C75BC,3,5,HALLMARK_KRAS_SIGNALING_DN,0.0436493919218199,0.0436493919218199,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,Interferon Alpha Response,0.459890016440841,-1.09711431887973,0.311945080091533,-1.22615571451862,CD4 EM,#1C75BC,3,5,HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.12904139563889,0.12904139563889,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,TGFβ Signaling,0.452994555353902,-1.14771713123587,0.475951323160131,-1.1092682157514,CD4 EM,#1C75BC,3,5,HALLMARK_TGF_BETA_SIGNALING,0.03844891548447,0.03844891548447,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,Coagulation,0.452994555353902,-1.1611294397693,0.475951323160131,-1.12489226697167,CD4 EM,#1C75BC,3,5,HALLMARK_COAGULATION,0.0362371727976298,0.0362371727976298,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,Interferon Gamma Response,0.307911617961511,-1.1676254453,0.0200299277293671,-1.48017336503964,CD4 EM,#1C75BC,3,5,HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.31254791973964,0.31254791973964,FALSE,TRUE,TRUE
bortezomib,24,t_cd4_em,Apoptosis,0.166286631853472,-1.32020983997673,0.136674259681093,-1.28582943893614,CD4 EM,#1C75BC,3,5,HALLMARK_APOPTOSIS,0.0343804010405899,0.0343804010405899,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_em,P53 Pathway,0.124804992199688,-1.34392449537149,0.0675531041356572,-1.31533735006754,CD4 EM,#1C75BC,3,5,HALLMARK_P53_PATHWAY,0.0285871453039499,0.0285871453039499,FALSE,TRUE,TRUE
bortezomib,24,t_cd4_em,Complement,0.104770306009221,-1.3819001577764,0.0509836012004329,-1.45589408451185,CD4 EM,#1C75BC,3,5,HALLMARK_COMPLEMENT,-0.0739939267354499,0.0739939267354499,FALSE,TRUE,TRUE
bortezomib,24,t_cd4_em,UV Response DN,0.147996282007839,-1.40075143808242,0.0720884293117878,-1.36515501147073,CD4 EM,#1C75BC,3,5,HALLMARK_UV_RESPONSE_DN,0.0355964266116899,0.0355964266116899,FALSE,TRUE,TRUE
bortezomib,24,t_cd4_em,TNFβ Signaling via NFκB,0.0958849395180312,-1.42158214809356,0.0665497438194341,-1.37421840693837,CD4 EM,#1C75BC,3,5,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.0473637411551899,0.0473637411551899,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_em,Hypoxia,0.0611190751053282,-1.46550677430458,0.0509836012004329,-1.41272396574568,CD4 EM,#1C75BC,3,5,HALLMARK_HYPOXIA,0.0527828085588999,0.0527828085588999,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_em,IL6/JAK/STAT3 Signaling,0.0958849395180312,-1.50167468405693,0.05260429713184,-1.47688047471142,CD4 EM,#1C75BC,3,5,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.02479420934551,0.02479420934551,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_em,IL2/STAT5 Signaling,0.0253451216750075,-1.53298041853809,0.0200299277293671,-1.49421321182409,CD4 EM,#1C75BC,3,5,HALLMARK_IL2_STAT5_SIGNALING,0.0387672067139999,0.0387672067139999,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_em,Estrogen Response Late,0.0253451216750075,-1.60441017820215,0.0200299277293671,-1.55412076721789,CD4 EM,#1C75BC,3,5,HALLMARK_ESTROGEN_RESPONSE_LATE,0.05028941098426,0.05028941098426,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_em,Allograft Rejection,0.0146208823085616,-1.60477128990645,0.00971437650323162,-1.56622608142723,CD4 EM,#1C75BC,3,5,HALLMARK_ALLOGRAFT_REJECTION,0.0385452084792199,0.0385452084792199,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_em,Apical Junction,0.0156015581485286,-1.65590868646395,0.0153425348785692,-1.60599379937105,CD4 EM,#1C75BC,3,5,HALLMARK_APICAL_JUNCTION,0.0499148870929,0.0499148870929,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_em,Estrogen Response Early,0.0146208823085616,-1.67507229938716,0.0141171030731614,-1.63493941543899,CD4 EM,#1C75BC,3,5,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0401328839481701,0.0401328839481701,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_em,Inflammatory Response,0.00879396099937785,-1.74393004211525,0.00167094556266549,-1.81565287478441,CD4 EM,#1C75BC,3,5,HALLMARK_INFLAMMATORY_RESPONSE,-0.0717228326691601,0.0717228326691601,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_em,KRAS Signaling UP,0.00879396099937785,-1.74957586631537,0.00950709738396088,-1.66169395794196,CD4 EM,#1C75BC,3,5,HALLMARK_KRAS_SIGNALING_UP,0.0878819083734099,0.0878819083734099,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_em,Epithelial-Mesenchymal Transition,0.013741498266846,-1.78093445528958,0.0141171030731614,-1.72652581726552,CD4 EM,#1C75BC,3,5,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.05440863802406,0.05440863802406,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_naive,MYC Targets V1,0.000275422973216974,1.95850046674907,0.531291748021786,-1.00921999828044,CD4 Naive,#93A7D1,1,7,HALLMARK_MYC_TARGETS_V1,-2.96772046502951,2.96772046502951,TRUE,FALSE,TRUE
bortezomib,24,t_cd4_naive,MTORC1 Signaling,0.0133077125358819,1.81250397847165,0.316472742943331,1.22664813914432,CD4 Naive,#93A7D1,1,7,HALLMARK_MTORC1_SIGNALING,-0.58585583932733,0.58585583932733,TRUE,FALSE,TRUE
bortezomib,24,t_cd4_naive,ROS Pathway,0.187012012012012,1.6789023405588,0.137810189676178,1.77611141671625,CD4 Naive,#93A7D1,1,7,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.09720907615745,0.09720907615745,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_naive,Spermatogenesis,0.187012012012012,1.612683549476,0.18989898989899,1.7122870808298,CD4 Naive,#93A7D1,1,7,HALLMARK_SPERMATOGENESIS,0.0996035313538002,0.0996035313538002,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_naive,Adipogenesis,0.187012012012012,1.46566151047829,0.181808134394341,1.48151117531439,CD4 Naive,#93A7D1,1,7,HALLMARK_ADIPOGENESIS,0.0158496648361,0.0158496648361,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_naive,Protein Secretion,0.27280692147629,1.34953765666522,0.18989898989899,1.46982174789992,CD4 Naive,#93A7D1,1,7,HALLMARK_PROTEIN_SECRETION,0.1202840912347,0.1202840912347,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_naive,Glycolysis,0.330385487528345,1.28659294279739,0.245900359206622,1.35605299343627,CD4 Naive,#93A7D1,1,7,HALLMARK_GLYCOLYSIS,0.0694600506388801,0.0694600506388801,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_naive,Fatty Acid Metabolism,0.341074020319303,1.25634643987724,0.245900359206622,1.35419086192243,CD4 Naive,#93A7D1,1,7,HALLMARK_FATTY_ACID_METABOLISM,0.0978444220451902,0.0978444220451902,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_naive,Xenobiotic Metabolism,0.357269933689148,1.23770398602237,0.260097087378641,1.35152583143444,CD4 Naive,#93A7D1,1,7,HALLMARK_XENOBIOTIC_METABOLISM,0.11382184541207,0.11382184541207,FALSE,FALSE,FALSE
