aifi_cell_type,timepoint,fg,bg,n_sample,gene,coef_C,coef_D,logFC,nomP,adjP,direction_sign,direction,alt_name,branch,y_offset,group,order,gene_ypos,gene_label,treat_label,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos
t_cd4_cm,24,bortezomib,dmso,648,MAP2K1,0.030717725237281,0.29510573319703,0.114083343232616,0.0319085210710177,0.177608766695429,1,up,MEK1,RASGRP1–RAS–ERK1/2–AP1 pathway,2,RASGRP1-RAS-ERK1/2-AP1,15,17,MAP2K1 | MEK1,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,MAP2K2,0.0424640457479142,0.155398462012541,0.0246036736689836,0.350956489884702,0.637760643654094,1,up,MEK2,RASGRP1–RAS–ERK1/2–AP1 pathway,2,RASGRP1-RAS-ERK1/2-AP1,14,16,MAP2K2 | MEK2,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,MAP2K7,-0.0278935043865447,0.422998071299021,0.0408354496366334,0.0761893332163486,0.301562067259862,1,up,MKK7,p38 and JNK pathways,1,JNK activation complex,9,10,MAP2K7 | MKK7,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,MAP3K7,-0.0278170674802863,0.0690472501076524,0.0143268851373006,0.597596410904448,0.803569832501803,1,up,TAK1,p38 and JNK pathways,1,JNK activation complex,10,11,MAP3K7 | TAK1,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,MAPK1,0.0518527846756034,-0.0147439143920035,0.0144274209281042,0.225374527835334,0.515992247825694,1,up,ERK2,RASGRP1–RAS–ERK1/2–AP1 pathway,2,RASGRP1-RAS-ERK1/2-AP1,13,15,MAPK1 | ERK2,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,MAPK14,0.0362141698492679,-0.136400766441229,-0.0364214416115612,0.24899609657683,0.540360971978436,-1,dn,p38ɑ,p38 and JNK pathways,1,p38,11,12,MAPK14 | p38ɑ,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,MAPK8,0.0657042100969808,0.330654652030404,0.172440475100638,0.00367027985593238,0.0414015366484591,1,up,JNK1,p38 and JNK pathways,1,JNK activation complex,7,8,MAPK8 | JNK1,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,MAPK9,0.0269507641519702,0.0915378090717074,0.0187450538760265,0.709384481540221,0.867956616590591,1,up,JNK2,p38 and JNK pathways,1,JNK activation complex,8,9,MAPK9 | JNK2,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,MAPKAP1,0.00817121318246588,-0.00885462759028414,-7.78589580174849e-06,0.967993874655841,0.988832250026927,-1,dn,,mTORC pathways,0,mTORC2 complex,3,3,MAPKAP1,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,MTOR,0.0306212635707649,0.0174258417347293,0.00984111859725045,0.635932922444486,0.827577074952233,1,up,,mTORC pathways,0,mTORC1 complex,5,5,MTOR,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,NFATC1,-0.0567517131852906,0.0535526171947375,0.00114065370370212,0.351016130101588,0.637760643654094,1,up,,Ca2+–calcineurin–NFAT pathway,3,Ca-calcineurin-NFAT,25,28,NFATC1,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,NFKB1,-0.0124579294802618,-0.108303169683853,-0.0512957983657157,0.586795893769044,0.796841618173343,-1,dn,NF-κB,PKCθ–IKK–NF-κβ pathway,4,NFKB complex,28,32,NFKB1 | NF-κB,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,NFKBIA,-0.0440615293921983,0.114671495359978,0.012638475028972,0.316695360536598,0.60942691264111,1,up,IκBɑ,PKCθ–IKK–NF-κβ pathway,4,NFKB complex,26,30,NFKBIA | IκBɑ,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PAG1,-0.11760993773114,-0.205313402190902,-0.160336123415868,0.000510628709127026,0.00848782828830716,-1,dn,,Initial TCR Response,5,TCR Regulator,46,51,PAG1,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PDPK1,-0.0020123511774017,-0.0860898021602575,-0.0130052054852811,0.872664433099276,0.946088920444495,-1,dn,PDK1,PKCθ–IKK–NF-κβ pathway,4,CBM complex activator,35,39,PDPK1 | PDK1,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PLCG1,-0.0124194902418045,0.0850435597648489,0.0146600121612273,0.779777294028249,0.900779047392349,1,up,PLC-γ1,Initial TCR Response,5,Phospholipase C complex,39,44,PLCG1 | PLC-γ1,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PLCG2,-0.038952311741053,-0.182141666840035,-0.0939662722389952,0.126686889633285,0.391871245646438,-1,dn,PLC-γ2,Initial TCR Response,5,Phospholipase C complex,38,43,PLCG2 | PLC-γ2,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PPP3CA,-0.0847046850504766,-0.663361497432563,-0.326322151230964,3.57029755681613e-08,1.8051254433093e-06,-1,dn,,Ca2+–calcineurin–NFAT pathway,3,Ca-calcineurin-NFAT,24,27,PPP3CA,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PPP3CB,-0.00354636661947951,-0.140020036879914,-0.0513150063055995,0.490178925548464,0.736076846882085,-1,dn,,Ca2+–calcineurin–NFAT pathway,3,Ca-calcineurin-NFAT,23,26,PPP3CB,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PPP3CC,0.100626674607742,0.0729587987278739,0.0888281870752352,0.00346338700397471,0.0395403349620446,1,up,,Ca2+–calcineurin–NFAT pathway,3,Ca-calcineurin-NFAT,22,25,PPP3CC,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PRKCQ,-0.0136983127507998,-0.0964518491808568,-0.0422548321782616,0.698878849255754,0.862550778020444,-1,dn,PKC-Θ,PKCθ–IKK–NF-κβ pathway,4,CBM complex activator,37,41,PRKCQ | PKC-Θ,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PTPN22,-0.0309784089009641,-0.480053139271879,-0.163900276240847,0.000602841025005661,0.0097720069969429,-1,dn,Lyp/Pep,Initial TCR Response,5,TCR Negative Regulator,47,52,PTPN22 | Lyp/Pep,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PTPRC,-0.197949395369236,-1.11886542687453,-0.234654514960976,7.01711719149765e-11,4.92590028302322e-09,-1,dn,CD45,Initial TCR Response,5,TCR Activator,49,54,PTPRC | CD45,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PTPRJ,-0.00625422280298036,-0.115222994521077,-0.0435410076653094,0.619335075084312,0.81841081969085,-1,dn,CD148,Initial TCR Response,5,TCR Activator,50,55,PTPRJ | CD148,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,RAF1,0.0703399991857247,0.0406055129999625,0.0382111957524152,0.081768332605656,0.314841440232295,1,up,c-RAF,RASGRP1–RAS–ERK1/2–AP1 pathway,2,RASGRP1-RAS-ERK1/2-AP1,16,18,RAF1 | c-RAF,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,RASGRP1,-0.019219545681695,-0.0718805071806981,-0.0400959282592013,0.667111622334681,0.844603684619284,-1,dn,,RASGRP1–RAS–ERK1/2–AP1 pathway,2,RASGRP1-RAS-ERK1/2-AP1,18,20,RASGRP1,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,RICTOR,-0.00930006503953408,0.146763713149419,0.0472432373497089,0.470651886190996,0.7235687097387,1,up,,mTORC pathways,0,mTORC2 complex,1,1,RICTOR,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,RPTOR,0.083813712530033,0.591332188999159,0.24501279967691,5.17669311602613e-08,2.51278010376303e-06,1,up,,mTORC pathways,0,mTORC1 complex,4,4,RPTOR,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,SOS1,-0.250142109363742,-0.508620837267369,-0.291380851254226,1.78245498328848e-10,1.192139577012e-08,-1,dn,,RASGRP1–RAS–ERK1/2–AP1 pathway,2,RASGRP1-RAS-ERK1/2-AP1,17,19,SOS1,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,TRAC,-0.0413941836988662,-0.24955322904116,-0.119337690692721,0.0320215697284477,0.177888301683084,-1,dn,TCRɑ,Initial TCR Response,5,TCR complex,58,63,TRAC | TCRɑ,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,TRAF6,0.0439049911518635,0.0683825694069309,0.0196854487470796,0.451280017425925,0.711163723194027,1,up,,PKCθ–IKK–NF-κβ pathway,4,CBM complex,32,36,TRAF6,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,TRBC1,-0.042507905931882,-0.2912405516584,-0.0998724694148465,0.0458231522862846,0.22010784217163,-1,dn,TCRβ,Initial TCR Response,5,TCR complex,59,64,TRBC1 | TCRβ,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,TXK,-0.126842572431002,-0.297850549814446,-0.209164828955617,0.000395840386496216,0.00694683521260094,-1,dn,,Initial TCR Response,5,Phospholipase C complex,40,45,TXK,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,ZAP70,-0.00863145624802323,-0.352289503210804,-0.0646380215271827,0.0674582775955243,0.277880994130157,-1,dn,,Initial TCR Response,5,TCR Output,45,50,ZAP70,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_em,24,bortezomib,dmso,180,BCL10,0.0235132856203039,-0.0705059483817232,-0.00542498804627591,0.935086046096398,0.990899592048215,-1,dn,,PKCθ–IKK–NF-κβ pathway,4,CBM complex,36,40,BCL10,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,CARD11,0.118171180298715,0.28965818687054,0.191681397567193,0.0885714258928182,0.527629970947298,1,up,CARMA1,PKCθ–IKK–NF-κβ pathway,4,CBM complex,34,38,CARD11 | CARMA1,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,CD247,0.154405741819614,-0.482157423718163,-0.0131045616872394,0.0133661460655356,0.212753861900114,-1,dn,CD3ζ,Initial TCR Response,5,TCR complex,56,61,CD247 | CD3ζ,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,CD3D,-0.00395604561971149,-0.222799934167195,-0.0941522596966863,0.569889010146313,0.907708518679122,-1,dn,CD3δ,Initial TCR Response,5,TCR complex,60,65,CD3D | CD3δ,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,CD3E,0.00802881155389313,0.0317504705713457,0.0113839549891099,0.977993297717993,0.996870227610017,1,up,CD3ε,Initial TCR Response,5,TCR complex,61,66,CD3E | CD3ε,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,CD3G,-0.111845237723826,-0.437498471402527,-0.184342205408152,0.031751500914517,0.340999603733498,-1,dn,CD3γ,Initial TCR Response,5,TCR complex,57,62,CD3G | CD3γ,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,CD4,0.0412352651118366,-0.59402748245306,-0.161610549613395,0.0434578458198058,0.392066376161055,-1,dn,,Initial TCR Response,5,TCR Coreceptor,55,60,CD4,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,CHUK,0.147963009463191,0.403618280952657,0.0722524945217244,0.157134374161518,0.654865900291055,1,up,IKKɑ,PKCθ–IKK–NF-κβ pathway,4,IKb Kinase complex,30,34,CHUK | IKKɑ,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,CSK,-0.0147243537320675,-0.253191781740249,-0.0400114360165214,0.715011772202145,0.94127700910257,-1,dn,,Initial TCR Response,5,TCR Negative Regulator,48,53,CSK,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,DGKA,-0.15127746819576,0.00484716647441376,-0.0446541719152253,0.0117652037669702,0.201840777551292,-1,dn,DGKɑ,Ca2+–calcineurin–NFAT pathway,3,Ca-calcineurin-NFAT,19,22,DGKA | DGKɑ,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,ELK1,-0.0545090204459497,-0.957515834633544,-0.0616613097357599,0.139616619405812,0.628085399616706,-1,dn,,RASGRP1–RAS–ERK1/2–AP1 pathway,2,RASGRP1-RAS-ERK1/2-AP1,12,14,ELK1,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,FOS,-0.0667774803213668,-1.45845217065658,-0.0706505993544769,0.0257202373935702,0.312296808993664,-1,dn,c-Fos,Ca2+–calcineurin–NFAT pathway,3,Ca-calcineurin-NFAT,20,23,FOS | c-Fos,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,FYN,-0.0896523865042014,-0.400556064590016,-0.201338285515888,0.116996702646768,0.584053944840633,-1,dn,,Initial TCR Response,5,ITAM-targeting Kinase,51,56,FYN,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,GRAP2,-0.118827082876885,-0.179802592842747,-0.150244040657138,0.133685976313231,0.619969169720872,-1,dn,GADS,Initial TCR Response,5,Phospholipase C complex,42,47,GRAP2 | GADS,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,IKBKB,0.00389294632932545,0.466964095635622,0.125752061831182,0.169549877075449,0.669717975622938,1,up,IKKβ,PKCθ–IKK–NF-κβ pathway,4,IKb Kinase complex,31,35,IKBKB | IKKβ,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,ITK,-0.103759589093862,-1.19297991319802,-0.561764288971408,1.01283538045785e-07,1.95288793938978e-05,-1,dn,,Initial TCR Response,5,Phospholipase C complex,41,46,ITK,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,JUN,-0.0263101510329943,-0.532412258881781,-0.165523335954904,0.0982797182628243,0.552057685716176,-1,dn,c-Jun,Ca2+–calcineurin–NFAT pathway,3,Ca-calcineurin-NFAT,21,24,JUN | c-Jun,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,LAT,-0.0517518877238726,-0.723215013060308,-0.1648182742328,0.0192019796206104,0.261903440280041,-1,dn,,Initial TCR Response,5,Phospholipase C complex,43,48,LAT,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,LCK,0.0495318501679029,-0.9438232346887,-0.316926891719651,0.000140603580687328,0.00925080512637485,-1,dn,,Initial TCR Response,5,ITAM-targeting Kinase,52,57,LCK,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,LCP2,-0.0940186183094118,-0.754506116740942,-0.360753553800417,0.000561874757421894,0.0275651101407392,-1,dn,SLP-76,Initial TCR Response,5,Phospholipase C complex,44,49,LCP2 | SLP-76,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,MALT1,0.0621709269344675,0.00686525776192681,0.0273380649715876,0.625462669652405,0.922368916819539,1,up,,PKCθ–IKK–NF-κβ pathway,4,CBM complex,33,37,MALT1,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,MAP2K1,0.194791122482011,0.239977552461892,0.148451913664451,0.0170942912461358,0.249962555064747,1,up,MEK1,RASGRP1–RAS–ERK1/2–AP1 pathway,2,RASGRP1-RAS-ERK1/2-AP1,15,17,MAP2K1 | MEK1,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,MAP2K2,0.0854933005266037,0.890082493138371,0.140809058077275,0.00966208159607897,0.1816515159027,1,up,MEK2,RASGRP1–RAS–ERK1/2–AP1 pathway,2,RASGRP1-RAS-ERK1/2-AP1,14,16,MAP2K2 | MEK2,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,MAP2K7,-0.0303566775432252,-0.286150615823992,-0.0221140377046842,0.755183255605523,0.949067020601655,-1,dn,MKK7,p38 and JNK pathways,1,JNK activation complex,9,10,MAP2K7 | MKK7,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,MAP3K7,-0.0160624655535917,-0.129838628946772,-0.0472639663054462,0.824139604449067,0.964283030559524,-1,dn,TAK1,p38 and JNK pathways,1,JNK activation complex,10,11,MAP3K7 | TAK1,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,MAPK1,0.0129871117871909,0.230014193793202,0.0865994691992138,0.572158731747831,0.908501123583804,1,up,ERK2,RASGRP1–RAS–ERK1/2–AP1 pathway,2,RASGRP1-RAS-ERK1/2-AP1,13,15,MAPK1 | ERK2,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,MAPK14,0.0191227860171422,-0.293755768090462,-0.102312301137606,0.400871415407872,0.853086474626968,-1,dn,p38ɑ,p38 and JNK pathways,1,p38,11,12,MAPK14 | p38ɑ,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,MAPK8,0.133641647011041,0.561292908960698,0.298024623616137,0.0118111030086119,0.201840777551292,1,up,JNK1,p38 and JNK pathways,1,JNK activation complex,7,8,MAPK8 | JNK1,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,MAPK9,0.00781215078699381,0.0999483634963053,0.0177131931276026,0.94628321520121,0.992833528646757,1,up,JNK2,p38 and JNK pathways,1,JNK activation complex,8,9,MAPK9 | JNK2,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,MAPKAP1,0.013068772344228,0.031847499852706,0.0169940802130152,0.966704269195216,0.996261499018812,1,up,,mTORC pathways,0,mTORC2 complex,3,3,MAPKAP1,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,MTOR,-0.0708084228597566,0.268799097663167,0.052678874390699,0.358214540462048,0.836296964592446,1,up,,mTORC pathways,0,mTORC1 complex,5,5,MTOR,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,NFATC1,-0.0393940374093947,0.472349017486181,0.0579034391945766,0.324240532932792,0.817790054724238,1,up,,Ca2+–calcineurin–NFAT pathway,3,Ca-calcineurin-NFAT,25,28,NFATC1,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,NFKB1,-0.0528734280419099,-0.197146371763218,-0.110673373496092,0.465379441043856,0.884156953642212,-1,dn,NF-κB,PKCθ–IKK–NF-κβ pathway,4,NFKB complex,28,32,NFKB1 | NF-κB,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,NFKBIA,0.0270109771824864,0.373665836064784,0.0747388205781937,0.37650546469547,0.843199582809417,1,up,IκBɑ,PKCθ–IKK–NF-κβ pathway,4,NFKB complex,26,30,NFKBIA | IκBɑ,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PAG1,-0.106769506325418,-0.806102901010177,-0.332716169741969,0.00267599142974747,0.0830960484795367,-1,dn,,Initial TCR Response,5,TCR Regulator,46,51,PAG1,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PDPK1,0.012280301433737,-0.183437483075874,-0.0289597029211306,0.815400151921695,0.963437032639596,-1,dn,PDK1,PKCθ–IKK–NF-κβ pathway,4,CBM complex activator,35,39,PDPK1 | PDK1,Bor/DMSO,CD4 EM,#1C75BC,3,5
