treatment,timepoint,aifi_cell_type,tf_gene,tf_logFC,tf_adjP,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos,mean_logFC,sum_sig_logFC,ypos
bortezomib,24,t_cd4_em,ZEB1,0.487092523336382,0.00226162353181243,CD4 EM,#1C75BC,3,5,0.700144414800652,7.00144414800652,4
bortezomib,24,t_cd4_em,IKZF1,-0.242205601915825,0.182593829089661,CD4 EM,#1C75BC,3,5,-0.957452098229904,-8.61706888406914,-3.5
bortezomib,24,t_cd4_em,TFDP2,0.0799447974029592,0.721145842180984,CD4 EM,#1C75BC,3,5,0.643099975684443,4.5016998297911,2
bortezomib,24,t_cd4_em,E2F3,0.528576144949479,3.16151689192853e-07,CD4 EM,#1C75BC,3,5,0.463625477616677,4.1726292985501,1
bortezomib,24,t_cd4_em,ETS1,-0.341826355859171,0.0232291742280758,CD4 EM,#1C75BC,3,5,-0.567904763283339,-5.67904763283339,-1.5
bortezomib,24,t_cd4_em,IRF1,-0.0542504522730329,0.958959062630453,CD4 EM,#1C75BC,3,5,-0.696036186323234,-4.87225330426264,-0.5
bortezomib,24,t_cd4_em,STAT1,-0.278519207413761,0.113767311373211,CD4 EM,#1C75BC,3,5,-1.24300906433018,-9.9440725146414,-4.5
bortezomib,24,t_cd4_em,BCL11B,-0.272118307812886,0.254593308907667,CD4 EM,#1C75BC,3,5,-0.758788934182187,-7.58788934182187,-2.5
bortezomib,24,t_cd4_naive,BACH1,0.150992469822273,0.000184307132797082,CD4 Naive,#93A7D1,1,7,0.806298701301884,8.06298701301884,5
bortezomib,24,t_cd4_naive,MAFG,0.130987464394572,5.56181039499252e-12,CD4 Naive,#93A7D1,1,7,0.425100686830385,4.67610755513423,3
bortezomib,24,t_cd4_naive,ZEB1,0.0986741973926399,0.0345436470818292,CD4 Naive,#93A7D1,1,7,0.700144414800652,7.00144414800652,4
bortezomib,24,t_cd4_naive,IKZF1,-0.126799019495345,0.00257034607124275,CD4 Naive,#93A7D1,1,7,-0.957452098229904,-8.61706888406914,-3.5
bortezomib,24,t_cd4_naive,TFDP2,0.0454865343100095,0.623013125095646,CD4 Naive,#93A7D1,1,7,0.643099975684443,4.5016998297911,2
bortezomib,24,t_cd4_naive,E2F3,0.261973198705467,1.20381397940797e-22,CD4 Naive,#93A7D1,1,7,0.463625477616677,4.1726292985501,1
bortezomib,24,t_cd4_naive,ETS1,-0.19326677194522,0.000490173758870356,CD4 Naive,#93A7D1,1,7,-0.567904763283339,-5.67904763283339,-1.5
bortezomib,24,t_cd4_naive,IRF1,-0.139767714415987,0.0028757282305192,CD4 Naive,#93A7D1,1,7,-0.696036186323234,-4.87225330426264,-0.5
bortezomib,24,t_cd4_naive,STAT1,-0.355851064905204,4.07908957513733e-12,CD4 Naive,#93A7D1,1,7,-1.24300906433018,-9.9440725146414,-4.5
bortezomib,24,t_cd4_naive,BCL11B,-0.196385213221916,2.69736640466012e-05,CD4 Naive,#93A7D1,1,7,-0.758788934182187,-7.58788934182187,-2.5
bortezomib,24,t_cd4_treg,BACH1,0.733236908965521,0.0369299140883577,CD4 Treg,#E57A93,4,4,0.806298701301884,8.06298701301884,5
bortezomib,24,t_cd4_treg,MAFG,0.209890141853932,0.679985881002692,CD4 Treg,#E57A93,4,4,0.425100686830385,4.67610755513423,3
bortezomib,24,t_cd4_treg,ZEB1,0.253483873352466,0.999998222324989,CD4 Treg,#E57A93,4,4,0.700144414800652,7.00144414800652,4
bortezomib,24,t_cd4_treg,IKZF1,-0.784702944426731,0.00745393539362495,CD4 Treg,#E57A93,4,4,-0.957452098229904,-8.61706888406914,-3.5
bortezomib,24,t_cd4_treg,TFDP2,0.0472309525548098,0.999998222324989,CD4 Treg,#E57A93,4,4,0.643099975684443,4.5016998297911,2
bortezomib,24,t_cd4_treg,E2F3,0.107095580050889,0.999998222324989,CD4 Treg,#E57A93,4,4,0.463625477616677,4.1726292985501,1
bortezomib,24,t_cd4_treg,ETS1,-0.14690109938554,0.999998222324989,CD4 Treg,#E57A93,4,4,-0.567904763283339,-5.67904763283339,-1.5
bortezomib,24,t_cd4_treg,IRF1,-0.292744800080907,0.567349918229698,CD4 Treg,#E57A93,4,4,-0.696036186323234,-4.87225330426264,-0.5
bortezomib,24,t_cd4_treg,STAT1,0.138787262908079,0.999998222324989,CD4 Treg,#E57A93,4,4,-1.24300906433018,-9.9440725146414,-4.5
bortezomib,24,t_cd4_treg,BCL11B,-0.630887510712943,0.0213796818356355,CD4 Treg,#E57A93,4,4,-0.758788934182187,-7.58788934182187,-2.5
bortezomib,24,t_cd8_memory,BACH1,0.46737170728788,0.00125145078215094,CD8 Memory,#009444,6,2,0.806298701301884,8.06298701301884,5
bortezomib,24,t_cd8_memory,MAFG,0.31609248255444,2.15288642846354e-05,CD8 Memory,#009444,6,2,0.425100686830385,4.67610755513423,3
bortezomib,24,t_cd8_memory,ZEB1,0.754466428040474,1.98293578239933e-07,CD8 Memory,#009444,6,2,0.700144414800652,7.00144414800652,4
bortezomib,24,t_cd8_memory,IKZF1,-0.483315728153124,0.0105089482853514,CD8 Memory,#009444,6,2,-0.957452098229904,-8.61706888406914,-3.5
bortezomib,24,t_cd8_memory,TFDP2,0.298743941815397,0.0427295772959235,CD8 Memory,#009444,6,2,0.643099975684443,4.5016998297911,2
bortezomib,24,t_cd8_memory,E2F3,0.478283440395937,0.000153655742134558,CD8 Memory,#009444,6,2,0.463625477616677,4.1726292985501,1
bortezomib,24,t_cd8_memory,ETS1,-0.539135444743448,4.14521462575184e-05,CD8 Memory,#009444,6,2,-0.567904763283339,-5.67904763283339,-1.5
bortezomib,24,t_cd8_memory,IRF1,-0.138343688019183,0.720163524337662,CD8 Memory,#009444,6,2,-0.696036186323234,-4.87225330426264,-0.5
bortezomib,24,t_cd8_memory,STAT1,-0.0884324139457772,0.908649273187697,CD8 Memory,#009444,6,2,-1.24300906433018,-9.9440725146414,-4.5
bortezomib,24,t_cd8_memory,BCL11B,-0.516921302682995,0.000866788218636719,CD8 Memory,#009444,6,2,-0.758788934182187,-7.58788934182187,-2.5
bortezomib,24,t_cd8_naive,BACH1,0.234483487940828,0.0186177307493914,CD8 Naive,#8DC63F,5,3,0.806298701301884,8.06298701301884,5
bortezomib,24,t_cd8_naive,MAFG,0.26429658120761,2.61364329703521e-14,CD8 Naive,#8DC63F,5,3,0.425100686830385,4.67610755513423,3
bortezomib,24,t_cd8_naive,ZEB1,0.312605272548329,8.39958035179402e-05,CD8 Naive,#8DC63F,5,3,0.700144414800652,7.00144414800652,4
bortezomib,24,t_cd8_naive,IKZF1,-0.209539000426136,0.0128580459405152,CD8 Naive,#8DC63F,5,3,-0.957452098229904,-8.61706888406914,-3.5
bortezomib,24,t_cd8_naive,TFDP2,0.14418727989594,0.102931077224666,CD8 Naive,#8DC63F,5,3,0.643099975684443,4.5016998297911,2
bortezomib,24,t_cd8_naive,E2F3,0.426448448144131,2.23111151095369e-14,CD8 Naive,#8DC63F,5,3,0.463625477616677,4.1726292985501,1
bortezomib,24,t_cd8_naive,ETS1,-0.290236548832498,0.000308245637839119,CD8 Naive,#8DC63F,5,3,-0.567904763283339,-5.67904763283339,-1.5
bortezomib,24,t_cd8_naive,IRF1,-0.15275383980961,0.0723999771570949,CD8 Naive,#8DC63F,5,3,-0.696036186323234,-4.87225330426264,-0.5
bortezomib,24,t_cd8_naive,STAT1,-0.229406757641925,0.0403206384979998,CD8 Naive,#8DC63F,5,3,-1.24300906433018,-9.9440725146414,-4.5
bortezomib,24,t_cd8_naive,BCL11B,-0.326864358096511,2.45525585978959e-05,CD8 Naive,#8DC63F,5,3,-0.758788934182187,-7.58788934182187,-2.5
bortezomib,4,t_cd4_cm,BACH1,-0.040940887007672,0.999236992731244,CD4 CM,#00AEEF,2,6,0.806298701301884,8.06298701301884,5
bortezomib,4,t_cd4_cm,MAFG,-0.0543499119019281,0.964748941991027,CD4 CM,#00AEEF,2,6,0.425100686830385,4.67610755513423,3
bortezomib,4,t_cd4_cm,ZEB1,0.0645771535351598,0.999236992731244,CD4 CM,#00AEEF,2,6,0.700144414800652,7.00144414800652,4
bortezomib,4,t_cd4_cm,IKZF1,0.0665145873784225,0.999236992731244,CD4 CM,#00AEEF,2,6,-0.957452098229904,-8.61706888406914,-3.5
bortezomib,4,t_cd4_cm,TFDP2,-0.0818911931620755,0.983275106494552,CD4 CM,#00AEEF,2,6,0.643099975684443,4.5016998297911,2
bortezomib,4,t_cd4_cm,E2F3,-0.00581501334043605,0.999236992731244,CD4 CM,#00AEEF,2,6,0.463625477616677,4.1726292985501,1
bortezomib,4,t_cd4_cm,ETS1,-0.0666117852260126,0.999236992731244,CD4 CM,#00AEEF,2,6,-0.567904763283339,-5.67904763283339,-1.5
bortezomib,4,t_cd4_cm,IRF1,-0.0358939110376934,0.999236992731244,CD4 CM,#00AEEF,2,6,-0.696036186323234,-4.87225330426264,-0.5
bortezomib,4,t_cd4_cm,STAT1,-0.0511967965331174,0.999236992731244,CD4 CM,#00AEEF,2,6,-1.24300906433018,-9.9440725146414,-4.5
bortezomib,4,t_cd4_cm,BCL11B,-0.0294064050869798,0.999236992731244,CD4 CM,#00AEEF,2,6,-0.758788934182187,-7.58788934182187,-2.5
bortezomib,4,t_cd4_em,BACH1,0.0755282902576739,0.995791877883449,CD4 EM,#1C75BC,3,5,0.806298701301884,8.06298701301884,5
bortezomib,4,t_cd4_em,MAFG,-0.00337686278630321,0.995791877883449,CD4 EM,#1C75BC,3,5,0.425100686830385,4.67610755513423,3
bortezomib,4,t_cd4_em,ZEB1,0.0124604280385483,0.995791877883449,CD4 EM,#1C75BC,3,5,0.700144414800652,7.00144414800652,4
bortezomib,4,t_cd4_em,IKZF1,0.0466399748984672,0.995791877883449,CD4 EM,#1C75BC,3,5,-0.957452098229904,-8.61706888406914,-3.5
bortezomib,4,t_cd4_em,TFDP2,0.00255521994907404,0.999479790799998,CD4 EM,#1C75BC,3,5,0.643099975684443,4.5016998297911,2
bortezomib,4,t_cd4_em,E2F3,-0.0649644993825382,0.995791877883449,CD4 EM,#1C75BC,3,5,0.463625477616677,4.1726292985501,1
bortezomib,4,t_cd4_em,ETS1,-0.0668933580967428,0.995791877883449,CD4 EM,#1C75BC,3,5,-0.567904763283339,-5.67904763283339,-1.5
bortezomib,4,t_cd4_em,IRF1,0.0325197780690205,0.995791877883449,CD4 EM,#1C75BC,3,5,-0.696036186323234,-4.87225330426264,-0.5
bortezomib,4,t_cd4_em,STAT1,0.0319895604393919,0.995791877883449,CD4 EM,#1C75BC,3,5,-1.24300906433018,-9.9440725146414,-4.5
bortezomib,4,t_cd4_em,BCL11B,-0.00421289912711442,0.995791877883449,CD4 EM,#1C75BC,3,5,-0.758788934182187,-7.58788934182187,-2.5
bortezomib,4,t_cd4_naive,BACH1,-0.050092458403805,0.998282025136458,CD4 Naive,#93A7D1,1,7,0.806298701301884,8.06298701301884,5
bortezomib,4,t_cd4_naive,MAFG,-0.00104542874065784,0.998282025136458,CD4 Naive,#93A7D1,1,7,0.425100686830385,4.67610755513423,3
bortezomib,4,t_cd4_naive,ZEB1,-0.0117927714813046,0.999646496130351,CD4 Naive,#93A7D1,1,7,0.700144414800652,7.00144414800652,4
bortezomib,4,t_cd4_naive,IKZF1,0.0300651716769669,0.998282025136458,CD4 Naive,#93A7D1,1,7,-0.957452098229904,-8.61706888406914,-3.5
bortezomib,4,t_cd4_naive,TFDP2,-0.0944635597939864,0.921890824302828,CD4 Naive,#93A7D1,1,7,0.643099975684443,4.5016998297911,2
bortezomib,4,t_cd4_naive,E2F3,0.0248643341275427,0.998282025136458,CD4 Naive,#93A7D1,1,7,0.463625477616677,4.1726292985501,1
bortezomib,4,t_cd4_naive,ETS1,0.0753683050195599,0.921890824302828,CD4 Naive,#93A7D1,1,7,-0.567904763283339,-5.67904763283339,-1.5
bortezomib,4,t_cd4_naive,IRF1,0.0236493244881624,0.999646496130351,CD4 Naive,#93A7D1,1,7,-0.696036186323234,-4.87225330426264,-0.5
bortezomib,4,t_cd4_naive,STAT1,-0.00535062121478391,0.999646496130351,CD4 Naive,#93A7D1,1,7,-1.24300906433018,-9.9440725146414,-4.5
bortezomib,4,t_cd4_naive,BCL11B,0.0174396753187325,0.998282025136458,CD4 Naive,#93A7D1,1,7,-0.758788934182187,-7.58788934182187,-2.5
bortezomib,4,t_cd4_treg,BACH1,-0.0327932199623389,0.999922237788357,CD4 Treg,#E57A93,4,4,0.806298701301884,8.06298701301884,5
bortezomib,4,t_cd4_treg,MAFG,0.0644641483626514,0.999922237788357,CD4 Treg,#E57A93,4,4,0.425100686830385,4.67610755513423,3
bortezomib,4,t_cd4_treg,ZEB1,0.159861837290582,0.999922237788357,CD4 Treg,#E57A93,4,4,0.700144414800652,7.00144414800652,4
bortezomib,4,t_cd4_treg,IKZF1,0.232706782636417,0.999922237788357,CD4 Treg,#E57A93,4,4,-0.957452098229904,-8.61706888406914,-3.5
bortezomib,4,t_cd4_treg,TFDP2,-0.18739359749983,0.999922237788357,CD4 Treg,#E57A93,4,4,0.643099975684443,4.5016998297911,2
bortezomib,4,t_cd4_treg,E2F3,-0.0458865010522578,0.999922237788357,CD4 Treg,#E57A93,4,4,0.463625477616677,4.1726292985501,1
bortezomib,4,t_cd4_treg,ETS1,0.20238198276499,0.999922237788357,CD4 Treg,#E57A93,4,4,-0.567904763283339,-5.67904763283339,-1.5
bortezomib,4,t_cd4_treg,IRF1,0.0166365869363304,0.999922237788357,CD4 Treg,#E57A93,4,4,-0.696036186323234,-4.87225330426264,-0.5
bortezomib,4,t_cd4_treg,STAT1,0.117596281957101,0.999922237788357,CD4 Treg,#E57A93,4,4,-1.24300906433018,-9.9440725146414,-4.5
bortezomib,4,t_cd4_treg,BCL11B,0.226117230190315,0.999922237788357,CD4 Treg,#E57A93,4,4,-0.758788934182187,-7.58788934182187,-2.5
bortezomib,4,t_cd8_memory,BACH1,0.1339365513006,0.997306958035306,CD8 Memory,#009444,6,2,0.806298701301884,8.06298701301884,5
bortezomib,4,t_cd8_memory,MAFG,-0.0275834292576273,0.997306958035306,CD8 Memory,#009444,6,2,0.425100686830385,4.67610755513423,3
bortezomib,4,t_cd8_memory,ZEB1,0.094023677762906,0.997306958035306,CD8 Memory,#009444,6,2,0.700144414800652,7.00144414800652,4
bortezomib,4,t_cd8_memory,IKZF1,0.349431209554702,0.997306958035306,CD8 Memory,#009444,6,2,-0.957452098229904,-8.61706888406914,-3.5
bortezomib,4,t_cd8_memory,TFDP2,-0.021677222782637,0.997306958035306,CD8 Memory,#009444,6,2,0.643099975684443,4.5016998297911,2
bortezomib,4,t_cd8_memory,E2F3,0.00480963719850724,0.997306958035306,CD8 Memory,#009444,6,2,0.463625477616677,4.1726292985501,1
bortezomib,4,t_cd8_memory,ETS1,0.0835051250891536,0.997306958035306,CD8 Memory,#009444,6,2,-0.567904763283339,-5.67904763283339,-1.5
bortezomib,4,t_cd8_memory,IRF1,-0.126294948114084,0.997306958035306,CD8 Memory,#009444,6,2,-0.696036186323234,-4.87225330426264,-0.5
bortezomib,4,t_cd8_memory,STAT1,-0.0776315454377942,0.997306958035306,CD8 Memory,#009444,6,2,-1.24300906433018,-9.9440725146414,-4.5
bortezomib,4,t_cd8_memory,BCL11B,0.0713488980762171,0.997306958035306,CD8 Memory,#009444,6,2,-0.758788934182187,-7.58788934182187,-2.5
bortezomib,4,t_cd8_naive,BACH1,-0.00516301736899982,0.995116396338905,CD8 Naive,#8DC63F,5,3,0.806298701301884,8.06298701301884,5
bortezomib,4,t_cd8_naive,ZEB1,0.0789310159069914,0.995116396338905,CD8 Naive,#8DC63F,5,3,0.700144414800652,7.00144414800652,4
bortezomib,4,t_cd8_naive,IKZF1,0.0459586803936181,0.995116396338905,CD8 Naive,#8DC63F,5,3,-0.957452098229904,-8.61706888406914,-3.5
bortezomib,4,t_cd8_naive,TFDP2,-0.00687643975488245,0.995116396338905,CD8 Naive,#8DC63F,5,3,0.643099975684443,4.5016998297911,2
bortezomib,4,t_cd8_naive,E2F3,-0.0575949937467594,0.995116396338905,CD8 Naive,#8DC63F,5,3,0.463625477616677,4.1726292985501,1
bortezomib,4,t_cd8_naive,ETS1,0.00453455940069558,0.995913517999172,CD8 Naive,#8DC63F,5,3,-0.567904763283339,-5.67904763283339,-1.5
bortezomib,4,t_cd8_naive,IRF1,-0.0369858698777611,0.995116396338905,CD8 Naive,#8DC63F,5,3,-0.696036186323234,-4.87225330426264,-0.5
bortezomib,4,t_cd8_naive,STAT1,0.031302562613531,0.995116396338905,CD8 Naive,#8DC63F,5,3,-1.24300906433018,-9.9440725146414,-4.5
bortezomib,4,t_cd8_naive,BCL11B,0.0481469565252166,0.995116396338905,CD8 Naive,#8DC63F,5,3,-0.758788934182187,-7.58788934182187,-2.5
bortezomib,72,t_cd4_cm,BACH1,0.963359491496536,5.89950171441649e-59,CD4 CM,#00AEEF,2,6,0.806298701301884,8.06298701301884,5
bortezomib,72,t_cd4_cm,MAFG,0.561405622581061,9.47937862748328e-51,CD4 CM,#00AEEF,2,6,0.425100686830385,4.67610755513423,3
bortezomib,72,t_cd4_cm,ZEB1,0.737119150634862,1.63452160153832e-51,CD4 CM,#00AEEF,2,6,0.700144414800652,7.00144414800652,4
bortezomib,72,t_cd4_cm,IKZF1,-0.915542815600705,1.20509235886292e-70,CD4 CM,#00AEEF,2,6,-0.957452098229904,-8.61706888406914,-3.5
bortezomib,72,t_cd4_cm,TFDP2,0.71435752705492,8.4655789914827e-50,CD4 CM,#00AEEF,2,6,0.643099975684443,4.5016998297911,2
bortezomib,72,t_cd4_cm,E2F3,0.449862564213472,1.12526630271757e-19,CD4 CM,#00AEEF,2,6,0.463625477616677,4.1726292985501,1
bortezomib,72,t_cd4_cm,ETS1,-0.599183070506864,2.61190781858218e-29,CD4 CM,#00AEEF,2,6,-0.567904763283339,-5.67904763283339,-1.5
bortezomib,72,t_cd4_cm,IRF1,-0.892475686875364,4.69980939124908e-62,CD4 CM,#00AEEF,2,6,-0.696036186323234,-4.87225330426264,-0.5
bortezomib,72,t_cd4_cm,STAT1,-1.58693398877033,4.33141128327549e-149,CD4 CM,#00AEEF,2,6,-1.24300906433018,-9.9440725146414,-4.5
bortezomib,72,t_cd4_cm,BCL11B,-0.785981710586618,4.15500480398275e-49,CD4 CM,#00AEEF,2,6,-0.758788934182187,-7.58788934182187,-2.5
bortezomib,72,t_cd4_em,BACH1,1.19810775696042,7.0990942171605e-27,CD4 EM,#1C75BC,3,5,0.806298701301884,8.06298701301884,5
bortezomib,72,t_cd4_em,MAFG,0.486481087790641,8.13744989012188e-12,CD4 EM,#1C75BC,3,5,0.425100686830385,4.67610755513423,3
bortezomib,72,t_cd4_em,ZEB1,0.878151692859455,5.7611220649035e-21,CD4 EM,#1C75BC,3,5,0.700144414800652,7.00144414800652,4
bortezomib,72,t_cd4_em,IKZF1,-1.32489395110457,5.63475444636444e-36,CD4 EM,#1C75BC,3,5,-0.957452098229904,-8.61706888406914,-3.5
bortezomib,72,t_cd4_em,TFDP2,0.797865746793798,3.96199975613528e-21,CD4 EM,#1C75BC,3,5,0.643099975684443,4.5016998297911,2
bortezomib,72,t_cd4_em,E2F3,0.559280040530741,1.00126385331798e-09,CD4 EM,#1C75BC,3,5,0.463625477616677,4.1726292985501,1
bortezomib,72,t_cd4_em,ETS1,-0.836784563103724,5.43342316662305e-18,CD4 EM,#1C75BC,3,5,-0.567904763283339,-5.67904763283339,-1.5
bortezomib,72,t_cd4_em,IRF1,-0.899969280465377,2.34582178008265e-19,CD4 EM,#1C75BC,3,5,-0.696036186323234,-4.87225330426264,-0.5
bortezomib,72,t_cd4_em,STAT1,-1.43010016497584,4.57758609912753e-33,CD4 EM,#1C75BC,3,5,-1.24300906433018,-9.9440725146414,-4.5
bortezomib,72,t_cd4_em,BCL11B,-0.793032485580088,1.35522603084608e-15,CD4 EM,#1C75BC,3,5,-0.758788934182187,-7.58788934182187,-2.5
bortezomib,72,t_cd4_naive,BACH1,1.25448851778719,1.52266631257044e-190,CD4 Naive,#93A7D1,1,7,0.806298701301884,8.06298701301884,5
bortezomib,72,t_cd4_naive,MAFG,0.519325737269623,1.25573881359813e-89,CD4 Naive,#93A7D1,1,7,0.425100686830385,4.67610755513423,3
bortezomib,72,t_cd4_naive,ZEB1,0.866727141006929,8.7458275920871e-126,CD4 Naive,#93A7D1,1,7,0.700144414800652,7.00144414800652,4
bortezomib,72,t_cd4_naive,IKZF1,-1.35603977541961,7.91452749801108e-247,CD4 Naive,#93A7D1,1,7,-0.957452098229904,-8.61706888406914,-3.5
bortezomib,72,t_cd4_naive,TFDP2,0.730408906423571,2.05402215207169e-86,CD4 Naive,#93A7D1,1,7,0.643099975684443,4.5016998297911,2
bortezomib,72,t_cd4_naive,E2F3,0.58285496860089,3.3583497297916e-74,CD4 Naive,#93A7D1,1,7,0.463625477616677,4.1726292985501,1
bortezomib,72,t_cd4_naive,ETS1,-0.583049341515843,4.30943183913033e-55,CD4 Naive,#93A7D1,1,7,-0.567904763283339,-5.67904763283339,-1.5
bortezomib,72,t_cd4_naive,IRF1,-0.838206019471101,4.98240783883791e-111,CD4 Naive,#93A7D1,1,7,-0.696036186323234,-4.87225330426264,-0.5
bortezomib,72,t_cd4_naive,STAT1,-2.11909527980241,0,CD4 Naive,#93A7D1,1,7,-1.24300906433018,-9.9440725146414,-4.5
bortezomib,72,t_cd4_naive,BCL11B,-1.204419493279,7.31521420525229e-189,CD4 Naive,#93A7D1,1,7,-0.758788934182187,-7.58788934182187,-2.5
bortezomib,72,t_cd4_treg,BACH1,0.641313863334892,0.00256032654965031,CD4 Treg,#E57A93,4,4,0.806298701301884,8.06298701301884,5
bortezomib,72,t_cd4_treg,MAFG,0.588278688810306,9.38893228000469e-06,CD4 Treg,#E57A93,4,4,0.425100686830385,4.67610755513423,3
bortezomib,72,t_cd4_treg,ZEB1,0.743034569417194,8.47551902238315e-05,CD4 Treg,#E57A93,4,4,0.700144414800652,7.00144414800652,4
bortezomib,72,t_cd4_treg,IKZF1,-0.914828639901784,1.79204465059765e-06,CD4 Treg,#E57A93,4,4,-0.957452098229904,-8.61706888406914,-3.5
bortezomib,72,t_cd4_treg,TFDP2,0.565464886357758,0.000338554043125999,CD4 Treg,#E57A93,4,4,0.643099975684443,4.5016998297911,2
bortezomib,72,t_cd4_treg,E2F3,0.501846946991466,0.0249760461008793,CD4 Treg,#E57A93,4,4,0.463625477616677,4.1726292985501,1
bortezomib,72,t_cd4_treg,ETS1,-0.869107258074031,6.42279355762179e-07,CD4 Treg,#E57A93,4,4,-0.567904763283339,-5.67904763283339,-1.5
bortezomib,72,t_cd4_treg,IRF1,-0.671637131893771,0.000402205535219222,CD4 Treg,#E57A93,4,4,-0.696036186323234,-4.87225330426264,-0.5
bortezomib,72,t_cd4_treg,STAT1,-1.47537315189588,1.08128017582168e-11,CD4 Treg,#E57A93,4,4,-1.24300906433018,-9.9440725146414,-4.5
bortezomib,72,t_cd4_treg,BCL11B,-1.16630547311931,2.66991784306825e-09,CD4 Treg,#E57A93,4,4,-0.758788934182187,-7.58788934182187,-2.5
bortezomib,72,t_cd8_memory,BACH1,1.25110736262584,4.72899697620446e-23,CD8 Memory,#009444,6,2,0.806298701301884,8.06298701301884,5
bortezomib,72,t_cd8_memory,MAFG,0.633563954548298,4.1677441418473e-16,CD8 Memory,#009444,6,2,0.425100686830385,4.67610755513423,3
bortezomib,72,t_cd8_memory,ZEB1,0.85511485979707,2.9540911150946e-13,CD8 Memory,#009444,6,2,0.700144414800652,7.00144414800652,4
bortezomib,72,t_cd8_memory,IKZF1,-1.3218892644058,4.98142944947312e-27,CD8 Memory,#009444,6,2,-0.957452098229904,-8.61706888406914,-3.5
bortezomib,72,t_cd8_memory,TFDP2,0.623869984889898,1.49511242059714e-09,CD8 Memory,#009444,6,2,0.643099975684443,4.5016998297911,2
bortezomib,72,t_cd8_memory,E2F3,0.136398377646206,0.52619556932629,CD8 Memory,#009444,6,2,0.463625477616677,4.1726292985501,1
bortezomib,72,t_cd8_memory,ETS1,-0.693345482555739,2.02291614008725e-09,CD8 Memory,#009444,6,2,-0.567904763283339,-5.67904763283339,-1.5
bortezomib,72,t_cd8_memory,IRF1,-0.489705326130403,5.10069100790404e-05,CD8 Memory,#009444,6,2,-0.696036186323234,-4.87225330426264,-0.5
bortezomib,72,t_cd8_memory,STAT1,-0.821045249436511,7.52139289478318e-10,CD8 Memory,#009444,6,2,-1.24300906433018,-9.9440725146414,-4.5
bortezomib,72,t_cd8_memory,BCL11B,-0.88093287385323,3.85454402495809e-14,CD8 Memory,#009444,6,2,-0.758788934182187,-7.58788934182187,-2.5
bortezomib,72,t_cd8_naive,BACH1,1.28254770966732,3.58957023398185e-69,CD8 Naive,#8DC63F,5,3,0.806298701301884,8.06298701301884,5
bortezomib,72,t_cd8_naive,MAFG,0.669918188468829,1.40142889991871e-48,CD8 Naive,#8DC63F,5,3,0.425100686830385,4.67610755513423,3
bortezomib,72,t_cd8_naive,ZEB1,1.02216589597725,1.17501780641045e-58,CD8 Naive,#8DC63F,5,3,0.700144414800652,7.00144414800652,4
bortezomib,72,t_cd8_naive,IKZF1,-1.68313617579874,1.39939419652199e-127,CD8 Naive,#8DC63F,5,3,-0.957452098229904,-8.61706888406914,-3.5
bortezomib,72,t_cd8_naive,TFDP2,0.819121724509449,1.20816243321672e-37,CD8 Naive,#8DC63F,5,3,0.643099975684443,4.5016998297911,2
bortezomib,72,t_cd8_naive,E2F3,0.501039368082519,1.83040471068552e-18,CD8 Naive,#8DC63F,5,3,0.463625477616677,4.1726292985501,1
